pathway,A1,A2,A13,A14,A15,A17,A18,A19,A20,A21,A22,A23,A3,A24,A26,A28,A29,A30,A32,A37,A39,A42,A47,A4,A49,MWR072,MWR101,MWR102,MWR065,MWR091,MWR098,MWR084,MWR095,MWR063,A5,MWR080,MWR094,MWR115,MWR111,MWR092,MWR097,MWR073,MWR107,MWR112,MWR078,A6,MWR104,MWR070,MWR113,MWR082,MWR088,MWR118,MWR067,MWR108,MWR085,MWR090,A7,MWR077,MWR089,MWR068,MWR069,MWR106,MWR100,MWR081,A8,A9,A10
PWY-5913,82460.957,38098.6754,62258.4215,84433.2095,91374.6505,117505.6987,50765.4365,78289.6917,240375.8373,157809.9386,71378.0727,665.2208,16496.2125,3084.5105,1648.52,8733.9551,1666.5727,6633.5913,3426.5933,6362.9005,26845.0257,58748.4644,66810.5828,94355.0614,60856.3437,40797.1506,17451.9108,16397.2502,17184.0415,40615.6888,24440.4529,5636.8893,47599.7708,10241.0859,64782.282,45078.1084,24025.5041,24062.7028,14051.5004,8716.5469,20331.9128,23362.2474,29426.3831,18766.7721,22748.1304,76668.6666,19689.6314,19384.4234,4105.0049,20006.8384,14386.9839,12937.1852,17255.0704,9950.1529,9419.0536,27995.0129,50917.0551,24156.5168,8563.6185,13917.2545,12944.6774,16282.6189,4287.5049,9290.5846,98158.0315,31583.0838,102798.2119
PWY-5918,23471.1693,1791.3561,19348.1953,921.4076,17483.9002,30254.907,13855.5105,5637.774,6942.5034,111283.5387,10470.8926,650.9692,10266.8394,1295.3986,216.3963,676.7118,490.8157,820.2974,936.439,9191.2096,2029.1081,2865.7078,4343.4512,2523.3331,17999.1914,5032.6607,2072.4973,5886.2677,1577.4246,11260.7979,4764.525,895.3566,16705.92,1972.303,4746.559,17946.432,605.9922,950.246,1876.6082,2440.2759,3224.7553,2168.9984,4842.7105,602.9859,3451.8621,7470.8632,10587.1079,6949.7711,1271.7512,2607.2862,1658.1912,2726.5712,4182.3796,1057.0753,4116.5338,499.6263,1967.7302,12350.5597,2125.96,1535.3898,3161.6225,306.4775,70.1159,1505.7416,2715.6024,13432.75,13313.6022
PWY-5920,4047.5193,220.6226,8071.8107,130.3986,281.3422,6608.9027,5698.0031,1612.6927,416.5061,31007.7513,1036.1445,23.3199,256.487,122.2058,73.0388,195.3326,103.0624,223.0179,283.885,23.9577,208.5642,82.3928,90.6846,1154.8876,6807.2231,3328.5886,240.2526,356.818,69.9749,7096.1281,55.5002,42.6401,8618.8195,31.642,247.904,870.4864,285.2013,11.8997,374.4982,33.6646,581.7963,208.8238,1943.8907,45.48,184.7485,303.509,2080.0035,944.822,31.455,611.9216,71.9021,1332.0862,718.5934,793.3735,46.6166,187.6281,543.8458,670.1663,230.5759,503.1232,1018.4368,221.4926,14.7351,348.0005,1102.8067,5010.7795,641.5962
PWY-5941,15.9996,31.9989,47.9965,0,31.9983,39.9963,0,55.9935,15.9996,29160.5268,95.9894,15.9739,19.9995,0,0,0,0,19.9951,23.9852,0,0,0,0,259.9262,15.9996,0,0,0,0,0,0,0,0,0,43.9971,0,0,0,0,0,0,0,0,0,0,35.9982,0,0,0,0,0,0,0,0,0,0,11.9998,0,0,0,0,0,0,0,7.9999,7.9999,47.9963
PWY-5971,92170.7285,12209.2306,69462.8139,27089.6657,109187.3989,98061.8055,78001.5408,39257.7024,10414.3362,106494.9583,47072.5027,198.7774,20408.4086,4425.1781,3821.8977,10604.4924,2021.8699,12735.2337,5279.3667,9661.5771,20195.8286,31873.4831,89569.1201,27679.7414,69355.119,16853.6143,15045.0104,28661.703,14764.7352,12568.9738,24257.9631,13158.3218,44038.6653,11148.2384,159492.6253,17842.529,9416.7148,13954.3629,14978.2326,19823.2246,17584.5641,23153.7285,20955.1633,12398.0437,24887.4419,31063.7571,20178.2665,33545.1622,2248.5751,15460.5225,19365.5922,7619.2024,14702.9334,2467.9743,5380.6832,19467.1227,36522.4753,47077.5516,13886.3137,22840.1757,14522.2737,16088.7421,2441.8341,24343.9804,32334.2092,56734.0787,171989.6045
PWY-5973,396907.084,502958.0326,381216.2709,352341.5759,408535.0109,325009.7005,366351.0231,326799.6865,441882.2122,345300.2199,489049.3451,4702.2894,418958.374,99564.8726,12511.8587,31080.2754,24902.0904,50021.3242,23113.6531,108642.5434,105034.1066,210966.8871,292094.0098,612271.8678,393927.6108,75133.2382,91124.2204,102099.037,87919.9267,97543.283,84382.3062,54034.4156,86382.7821,65138.9803,408538.1735,90981.5973,66806.7469,70841.3808,90995.7965,95132.1027,72253.1495,87757.4309,104373.8639,70941.3582,60587.588,394076.2777,95923.0127,45193.6278,90632.2169,79642.0946,72457.3966,111309.0211,77016.1354,83627.1799,58410.5976,86433.7858,367004.7764,108548.4335,50523.6024,85923.4013,69531.1477,80003.2757,59884.2622,44789.6907,306260.699,338452.7413,363479.5028
PWY-5989,65080.615,13841.2942,53293.857,173177.267,164335.6952,90784.6607,129951.6131,203356.5322,7050.5788,130351.5959,100404.2997,129.6167,25584.7613,3403.983,4369.7819,11394.8498,1473.8358,10537.0013,4482.1379,8159.7086,30818.4933,83090.2969,148662.0563,20505.9898,75145.7947,52419.1956,18359.1445,20306.3659,92893.7408,52885.4159,20008.7046,14893.3267,69966.8525,8527.547,170199.8511,40250.3941,29086.2046,41181.255,10545.9778,28017.1585,13140.331,18677.1624,27662.4158,11728.9568,29889.1978,24409.8285,15109.5027,29250.2361,1433.8551,12914.322,39174.1388,32710.5265,13551.7628,2125.8171,3560.9999,19642.1524,38563.6101,49875.0055,9937.0171,28207.6868,12181.6185,12705.3268,1637.1967,29812.4317,248502.1504,41320.8387,153241.8828
PWY-6071,33.7262,9.7891,52.6331,0,10.4652,13.1121,2202.3522,0,0,5406.953,36.1601,0,0,34.1803,14.6187,49.3881,31.1137,52.1928,69.7553,0,0,0,0,41.2754,0,0,0,0,0,245.486,0,0,11327.8577,0,587.976,7519.4863,221.1343,0,0,0,0,0,6.5699,0,0,15.0053,0,11.1625,0,0,0,138.7473,0,0,0,0,107.5482,0,6.0207,6.5304,0,49.2423,0,138.7197,0,0,0
PWY-6121,387317.0157,534041.9015,407999.327,317182.83,379558.1656,294667.8134,354031.3959,338903.3956,404740.4784,421587.9506,457316.0503,6232.9444,491867.1151,91977.8842,12782.0022,28747.6659,25971.8456,46927.535,23178.5057,101115.2904,95470.0886,183907.599,258904.3832,625437.2526,382979.662,63059.9294,90706.1841,99919.7745,73282.8973,97609.0752,84461.9157,46727.0403,72231.5393,63403.7399,384303.8451,75953.263,60743.0139,71061.0665,83269.1411,86995.0152,65825.5639,72617.678,100116.2736,65779.4774,59843.3517,361252.816,94440.4695,37879.5703,78771.6553,75096.718,69979.9473,101149.0352,69935.7976,75127.3211,53571.559,77258.301,377406.6311,91093.0772,49905.1924,78540.5957,61748.4919,74206.8688,59138.3854,43363.8861,289014.2391,337264.7053,364902.4324
PWY-6122,403144.4882,585524.3977,428263.9032,312498.3265,383879.5177,289090.2535,355844.1482,330156.2544,418957.6186,485661.2987,460553.5174,7518.3925,554618.3647,95914.7812,12859.2883,29087.1835,27671.907,47337.039,24176.4548,104133.0801,93588.5694,180176.7396,259294.7143,624263.5799,387159.8178,61113.0593,90889.6954,96047.6716,73498.4663,94968.9241,85991.9748,47165.4916,68594.1256,64884.6584,380658.1648,74234.198,58850.7567,71770.6322,85902.2681,85658.7379,64960.2228,72306.5079,100946.034,66227.3788,59124.5517,364623.1191,95281.2835,36725.8348,81350.7846,73830.2801,68609.2378,95250.2814,70028.7988,80370.4456,55015.8925,77438.7032,370087.5602,91430.9327,49250.9943,78465.8346,60987.1295,73368.6377,64694.4158,42002.5239,281962.3056,352143.132,370283.7128
PWY-6123,354996.0501,466923.9202,350245.8519,295658.6002,374321.5812,265378.9377,302351.7805,297276.8896,429316.1248,310569.2651,415682.1697,4586.3696,397939.2368,83607.5162,10938.2673,25669.9915,23088.6744,42616.0502,20698.1875,90556.1689,87124.9011,166580.4907,234407.3729,557828.3115,345090.6405,58252.6086,80955.7702,89180.1267,79180.2482,85767.7535,72231.1625,44156.9528,66732.7191,57205.6417,354373.9572,71024.1175,55907.0759,61599.1451,73671.6577,85600.0523,59582.843,65544.0218,93681.6164,58851.5261,53997.8003,345861.8874,89626.6021,34416.276,72530.1394,65078.9272,63431.2587,96859.5551,66093.5302,66100.1024,49931.1455,72282.1193,339505.1237,92735.3447,46934.6413,71462.4228,59348.4454,68726.0905,50468.2333,40201.055,259366.6751,291270.5065,317066.8946
PWY-6125,155369.0579,91006.8479,198339.7739,153655.5219,186382.017,153487.03,147819.2152,186561.6269,334053.7629,189441.758,177499.5953,1146.8453,132852.3465,12033.7165,4783.629,12914.6687,6497.9971,16661.2021,9002.8554,47995.5855,54320.4596,114640.9571,107199.126,307176.4812,125657.0563,44383.306,59438.9825,74659.424,12958.3819,64070.8332,42410.8229,23677.3032,55265.0354,16179.2319,175226.4027,50805.2884,27836.5944,34569.6424,22722.9461,65906.3377,33929.4103,38108.1088,41314.7078,27429.2497,31536.8457,121788.9244,42240.8901,23404.5723,15608.2286,41716.2116,42368.9823,75072.5189,33355.047,22964.5892,18060.1845,49759.9031,202631.0914,55772.893,22128.2918,30773.9362,52528.409,24601.7335,6418.5976,22697.4482,169958.3685,128729.0476,134709.3112
PWY-6126,422823.779,545957.1563,405072.8856,325735.3457,407909.4734,296798.3241,345420.5253,323092.2772,433150.0128,380563.7637,490308.9352,5729.1317,490135.7612,100745.4993,13177.5746,29621.4691,28439.938,50288.6211,24168.3788,106197.8471,98622.2609,189664.8301,272356.1635,648246.8389,419299.9849,64200.5104,85653.1498,104071.855,87384.0564,99171.0989,83919.5754,49742.512,74616.3685,68337.6696,399054.0651,83633.7927,61149.8901,71460.7366,83523.0295,90422.5962,66357.035,72565.5322,108964.3809,68280.1553,60061.1837,424979.0054,99917.8932,40517.2318,82859.4242,71103.2471,70177.9983,103956.8166,72802.3324,79205.7092,55873.7619,78051.1113,397697.4701,97207.7375,54476.2624,79162.8951,65022.5089,77933.0733,60983.0473,44075.744,301383.9429,344309.2479,385517.0965
PWY-6147,208423.9314,233335.4093,214645.787,163570.1087,237029.2791,145790.855,202505.5289,218674.9621,319267.8623,233273.7087,219250.8816,2794.2075,222941.4918,47615.179,6624.1771,12927.2936,13682.9019,19881.3965,12368.0709,54921.8319,61464.2688,93917.4326,109413.4545,394292.1883,166457.7192,38934.5513,46955.8982,60334.8878,50858.0329,61153.3541,41027.5523,21020.9253,47998.2597,28054.0004,265222.7745,38030.5948,31149.0037,45794.4381,37246.8633,57797.2685,32380.3756,31378.2294,43597.2507,35143.7333,34567.7095,137442.3358,41791.4914,20374.3101,22802.6035,39415.4801,42383.9168,80866.1901,33759.4572,32993.7342,22979.3676,51490.2081,193856.1309,58141.7666,27844.0343,31351.8687,42606.6588,38057.9803,17522.7489,26908.0316,179618.827,176150.7424,198093.4484
PWY-6151,323644.5945,394258.9628,291869.2437,205397.1431,294731.8396,179850.2194,237328.3536,237881.0028,194786.6238,238017.7018,388563.5355,3739.8611,350901.8607,77028.2974,9378.2661,19079.6628,21008.2302,37322.8698,16458.964,74050.9552,62955.4817,117427.6983,193320.0602,376056.2278,276157.4055,40512.9257,70091.6247,58753.5544,64915.4353,58052.949,52303.4762,34160.7279,47345.2851,50738.0647,305263.6574,58819.3802,41842.2982,47911.0431,64131.8775,64760.3312,40947.1607,53546.9853,71126.8655,52259.6796,44119.5416,278935.176,61360.6826,23643.6837,70341.3142,45925.4015,47228.3475,63124.1337,34867.7521,63348.9825,44027.1284,60180.3439,248642.7869,68776.3122,36819.2618,59215.4234,32295.9509,61374.083,49509.6428,27991.3131,206784.3491,246949.1606,258546.4874
PWY-6163,390104.8958,478617.2374,342790.1052,291485.9032,367271.4764,271183.9219,318360.4525,283175.3741,397877.3685,310066.9006,443842.8331,4643.942,414328.4409,96631.6761,11375.8055,26274.5661,25048.2425,44023.8243,22188.1576,94835.8324,89103.7484,167051.1509,238870.437,579860.6534,358771.4336,58686.9431,80434.6655,76864.0049,71426.9427,81866.2127,74655.6483,43437.7524,64198.257,61358.3249,384764.9538,72563.3047,55815.3205,66561.8999,78052.2876,77899.4416,60399.2765,69508.6575,93322.6568,64029.2517,54575.5379,323031.0202,86350.3414,34464.6868,80504.8355,65707.5735,61113.615,87027.0338,65850.673,74728.7805,52125.5262,70287.6062,313257.9609,89329.1704,42907.3374,72289.3237,54201.9788,73611.1459,52789.3587,37820.0608,249695.0555,308264.7688,334185.6445
PWY-6165,103.7665,197.8607,19.6434,0,24.4494,3728.9827,0,130.8713,592.1832,107.7149,413.9826,0,0,0,37.3786,0,18.3666,14.5291,0,0,0,15.7775,0,23.5349,0,0,404.8225,42.6519,0,0,13.7023,0,0,21.6726,0,1231.2162,120.0452,0,0,7.0309,0,58.6903,2.7241,11.6275,0,7.7874,0,0,42.7494,0,0,0,0,0,0,11.8518,17.4353,0,0,69.2918,0,40.8565,56.3794,0,142.2581,474.3918,156.6559
PWY-6174,0,0,0,0,0,10.0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6182,25.8926,0,26.1992,0,6.95,5.0444,0,8.0866,0,6942.4436,9.9905,5.9195,12.478,0,0,0,0,13.8412,0,0,17.0184,0,0,50.3126,0,0,0,0,0,131.2501,0,0,0.3499,0,58.17,0,102.9466,0,0,0,0,0,0,0,0,24.7326,0,130.8388,0,0,0,0,10.2707,0,0,0,0,0,3.0477,3.3478,37.1163,0,0,88.9209,0,0,0
PWY-6185,27.7568,0,28.3648,0,9.1692,6.9347,0,10.7383,0,8687.3954,13.6117,6.3895,16.0778,0,0,0,0,15.436,0,0,17.0258,0,0,65.2485,0,0,0,0,0,135.7404,0,0,0.4164,0,72.6424,0,109.8248,0,0,0,0,0,0,0,0,31.6402,0,108.2212,0,0,0,0,10.3832,0,0,0,0,0,3.1444,3.5106,24.5283,0,0,92.2819,0,0,0
PWY-621,455711.6911,665491.0752,452119.4521,212160.2805,319516.4543,202071.7059,349610.6876,318876.2897,308720.8715,507983.3758,503534.1541,8567.4519,637308.8485,100522.5413,11811.7319,22729.1204,31996.1458,39094.6814,25118.4701,91313.498,79593.022,129655.8504,212348.0088,521857.6694,427463.3562,50376.0417,70864.7109,61846.0244,46513.6617,83783.1628,90976.12,36718.3279,54624.7214,79782.2853,453119.0876,65931.2025,55459.6027,87221.0511,72879.6427,51969.7538,44460.394,37914.978,98440.5399,74978.9444,65909.5187,289287.6221,105859.4209,25540.5784,72627.2527,55810.6544,52101.8178,45226.653,32366.9516,73479.9546,36803.243,76017.063,366639.4616,38898.9951,39997.0062,54683.6164,42372.9387,73514.0555,59740.9563,34365.4255,309113.6835,368540.3589,408236.9504
PWY-6210,0,0,0,0,0,0,0,0,0,151.8654,0,0,0,0,0,0,0,0,0,0,0,0,14.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6263,5097.2347,13641.8146,19881.8424,60551.1633,6480.8164,2857.1176,34500.8212,33201.531,707.9121,21599.4576,1867.289,33.984,14649.3696,1717.067,255.0061,2707.5154,178.5971,1828.9927,418.521,2301.8923,8038.5332,7307.5556,8901.8517,109783.1725,4120.2788,488.8916,1562.926,905.7513,649.6844,2131.8922,205.7811,1539.5926,707.8311,653.5353,2118.0111,116.659,314.8352,3415.5422,3973.954,4540.4217,5736.3741,2309.1027,9997.8185,1739.9468,111.9627,17004.7787,3272.3962,2335.4359,1216.2807,4644.8296,6098.035,3486.6405,16964.7689,413.9188,621.3333,4176.0748,589.1236,3530.5493,960.9533,5683.1079,2780.5084,2100.4285,43.0905,6842.5166,18575.7498,14353.349,2419.1829
PWY-6269,278458.1901,412715.6777,251723.7707,233114.4449,284640.222,202717.1141,220573.1528,222913.5589,229519.6314,262212.2742,382474.882,4367.2275,362309.7754,83222.1997,9871.3905,22325.9822,22249.7305,37595.99,16660.8763,84979.229,71846.4089,123159.1473,202145.8002,428007.1241,348026.0514,41112.1374,51319.502,77480.3961,63850.394,76506.6964,55607.8085,34749.9747,39161.3683,51997.0119,314925.7023,51651.2291,41603.7366,48572.6589,60468.5219,70551.7489,45681.9723,46372.1335,80711.9471,47958.3899,41480.2941,373589.3315,56602.8238,25305.5644,60474.0966,47403.7887,47385.6554,84194.0163,47866.697,54423.0978,35689.7714,61822.9251,297435.8125,66541.7578,42746.664,49334.6589,58977.4702,58173.5048,39293.6827,32071.2577,242892.4144,211128.6534,257357.8425
PWY-6277,403144.4882,585524.3977,428263.9032,312498.3265,383879.5177,289090.2535,355844.1482,330156.2544,418957.6186,485661.2987,460553.5174,7518.3925,554618.3647,95914.7812,12859.2883,29087.1835,27671.907,47337.039,24176.4548,104133.0801,93588.5694,180176.7396,259294.7143,624263.5799,387159.8178,61113.0593,90889.6954,96047.6716,73498.4663,94968.9241,85991.9748,47165.4916,68594.1256,64884.6584,380658.1648,74234.198,58850.7567,71770.6322,85902.2681,85658.7379,64960.2228,72306.5079,100946.034,66227.3788,59124.5517,364623.1191,95281.2835,36725.8348,81350.7846,73830.2801,68609.2378,95250.2814,70028.7988,80370.4456,55015.8925,77438.7032,370087.5602,91430.9327,49250.9943,78465.8346,60987.1295,73368.6377,64694.4158,42002.5239,281962.3056,352143.132,370283.7128
PWY-6282,66250.8236,13887.6648,53450.2399,173959.5537,163657.9335,90917.9843,130361.7325,198336.1699,7051.3422,130525.0938,102402.7127,129.9048,25705.1754,3429.6049,4407.5159,11660.6429,1482.6967,10769.4052,4546.7064,8176.5121,30699.3429,82664.6852,153324.1648,20493.0215,75622.7302,52157.0946,18510.9365,20169.7978,88611.784,51763.1676,20016.0861,15077.3236,68840.3365,8676.0235,173244.6044,41331.4188,28981.3101,41354.8149,10652.7866,27681.4584,13169.524,19035.3767,28310.9595,11810.1381,30055.6994,24605.1969,15217.7964,29957.8999,1447.4237,12910.4528,38501.461,32139.6679,13578.9833,2139.1714,3578.3296,19616.93,38495.2078,49454.3629,9921.4905,28801.1997,12094.9724,12797.7841,1651.5556,29168.3166,245444.1031,41521.6883,157225.5537
PWY-6317,391251.0183,519760.4482,363942.7792,264857.9903,305076.1088,235164.7356,301969.1359,259833.8,228856.9585,335161.2262,467370.8105,4907.8193,438973.3922,90597.1682,11514.7324,24868.4898,26817.1255,45348.6521,21366.8341,96526.2292,77706.9033,152691.8889,246512.6629,519062.8149,368635.791,50241.0599,69323.1095,82602.0834,58195.4829,78136.0737,75983.6819,44285.9202,57465.699,65855.5942,378560.715,68090.8582,53482.3582,65953.1392,73445.6147,67889.6006,52134.2556,62808.8099,97085.8085,62875.5311,56693.682,369178.7446,92808.0165,31411.4676,78112.271,57010.9278,58656.7307,53101.6026,54818.8764,69903.4982,49325.149,66719.9242,355598.8959,69989.5781,43604.7935,71763.3688,45924.6122,73179.6351,55111.5025,31087.2616,259941.5889,300815.1515,353552.0867
PWY-6338,0,0,0,0,0,0,0,0,0,27.1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6353,140176.2886,234660.0724,224080.2055,87850.2563,163074.5294,101428.6739,180936.8891,144822.1708,162263.9671,295229.7397,173573.4446,3391.5694,234313.7801,24767.2753,6737.6572,11662.5105,9975.1554,16213.5445,10244.134,45023.9816,35632.8722,58428.2937,99480.433,309406.6212,149867.0618,20547.3616,38040.091,17391.0376,15464.7843,46900.2036,45310.2573,15071.567,21620.1889,20617.8971,137980.5447,29125.5037,20149.8137,36341.2439,32204.5834,25249.4663,23356.8855,23734.2118,32519.3649,25535.224,24469.8538,86865.0438,33888.0092,12859.6653,14876.6011,30048.7583,26736.1305,15223.1385,18955.6931,22603.7115,18938.4342,35874.8278,143168.2156,24599.2039,17993.8501,21142.6302,8913.6795,19199.9342,17633.5445,13457.6546,120610.9993,170812.6481,148013.4392
PWY-6383,2405.1469,84.9495,271.345,7.9961,101.868,369.9056,73.9353,26.9881,67.9,6399.6535,71.8701,0,90.9509,19.9573,0,29.739,96.7994,78.9227,53.4993,0,0,6.9962,2.6598,150.7356,65.262,9.9889,178.6825,38.948,23.6991,41.9243,9.9959,0,83.2868,15.9648,85.8023,0,0,5.9966,43.8999,0,39.77,37.8112,27.9033,37.77,23.942,51.855,163.3642,0,57.6395,13.9799,27.8263,0,59.5192,0,103.1426,0,97.784,0,0,85.6446,11.9934,0,6.4974,0,34.9579,412.0361,5757.5506
PWY-6385,357837.8824,469218.6074,350995.9396,290983.9757,357819.1698,266134.2076,299498.4311,280341.6011,388122.7419,318362.6086,416486.4472,4881.4907,411098.1593,86229.0321,10963.1595,25720.129,23488.8218,43017.0028,20877.8668,92063.8275,83858.6078,158399.7679,230802.8678,544245.5878,346083.7824,55387.1433,77804.3441,85491.0769,71917.9756,81717.4946,72133.0473,43509.1701,63873.8213,58622.7819,344954.6383,70329.755,54121.3578,60279.0822,74996.4584,79225.0529,59418.2989,66471.4623,93689.1309,58467.6794,51984.2214,349990.987,88526.0801,34619.9244,75678.9446,63863.8289,60523.5454,86377.8493,66141.3036,68566.4405,49947.8621,68118.2624,325157.8817,86906.1211,44957.6796,71210.8287,57066.2106,68150.8808,52931.915,37665.1547,246497.3879,295118.0388,313621.8462
PWY-6386,366760.0047,487833.6387,363630.0407,298865.6952,367343.4985,272945.7161,310135.2841,286940.5865,395600.5572,333974.8098,428619.694,5141.5989,424237.5526,89153.8265,11297.5796,26436.6139,24320.2506,44315.6017,21511.0974,94737.1349,85868.0092,162487.5668,237813.861,558395.451,357504.0001,56537.8635,79057.0212,87149.4336,73309.9334,84361.6702,74522.1184,44556.7616,64397.2971,60024.9462,352624.2638,71470.8009,55341.8509,61718.6436,77490.2832,80845.3248,61108.281,68228.1384,95975.277,60496.7319,53095.2804,361450.6032,90281.269,35016.0019,77347.0677,65523.4799,62018.8826,87748.5834,67906.446,70416.5943,51222.3553,69849.8827,335349.3018,88847.8682,45999.4058,73431.3181,58397.1627,70118.2933,54394.1319,38491.6772,254111.8483,304215.0864,322128.5297
PWY-6387,365965.9038,488170.2378,365214.0715,294800.7646,364666.8747,271151.7376,306073.1308,285880.0108,393405.0273,343164.654,423787.723,5333.7723,433465.4286,87863.1583,11207.3671,26273.3684,24101.612,43714.9909,21363.2418,93745.4403,84959.5321,160758.3979,235762.4981,553981.6908,352850.5496,56080.1595,82326.4535,86715.0062,72555.6426,83252.7335,74187.1995,44545.513,64741.0527,59586.785,348839.0195,71494.0775,54991.692,61651.3777,76699.9616,80288.3616,60499.6769,67369.9508,95348.0013,59573.8073,52730.9547,355175.7302,90628.4381,36451.2665,77010.8761,64920.6797,61668.8801,87031.0648,67142.2238,70058.7953,50932.3712,69253.3886,331341.4996,89027.3676,45509.6886,73243.8798,57728.5106,69508.566,54705.0631,38118.003,250625.0504,304503.438,319452.1581
PWY-6396,7177.1687,62.3068,5436.3565,1993.9029,234.1678,1602.7814,4452.5123,189.4297,2734.2587,4201.5435,165.3059,3.2652,4760.1154,565.8612,130.4022,168.4824,134.8598,839.6113,193.3954,0,820.9749,158.7141,868.2586,3428.331,1362.4445,129.9301,1143.238,2907.0994,62.2201,646.4488,591.4161,732.0182,5369.5639,147.924,2047.7586,1846.092,215.0259,185.9139,1092.9132,299.4139,3130.2056,569.1518,254.1395,207.2048,183.8987,272.5105,973.4042,562.2227,877.6032,811.0854,1343.7346,450.7744,26.7804,303.1639,1734.2466,65.6349,588.0213,100.4649,500.094,331.676,49.4687,587.3953,97.8933,359.5357,475.5433,6202.2427,2696.7732
PWY-6397,1.929,0,56.7512,0,2.1199,58.9411,6.6677,0,8.4499,534.2081,2.2468,0,1.598,0,0,0,0,1.2245,16.7819,0,0,0.5638,0,5.7019,0,0,4.4545,0,0,6.5454,0,0,0.7826,0,0,0,0,0,0,0,0,0,0,0,0,3.3333,0,0,0,2.087,0,0,0,0,0,0,11.8382,0,0,1.257,0,0,3.3913,0,1.5652,4.988,16.8182
PWY-6467,38125.81,37253.61,75333.12,84750.82,126136.8,74478.97,78121.32,136280.46,219510.14,89253.11,63137.73,349.6,31017.75,2735.63,2520.62,4058.98,1553.79,5949.6,2808.84,21030.59,29011.35,56341.84,48152.41,187959.68,55437.42,21873.58,18199.56,38669.38,38657.34,40373.74,17448.92,11394.6,34955.06,4815.36,75002.97,23728.29,18300.76,15290.75,8857.5,41555.48,16375.73,12823.09,12874.48,10813.59,13565.83,53141.26,19381.94,11927,2418.1,21082.45,26112.96,57504.98,20096.8,4285.22,7984.48,27074.71,107487.2,38721.67,16931.84,15681.26,28409.55,13130.9,880.41,17528.83,96847.45,48539.02,50640.61
PWY-6470,64568.8547,1440.8899,23119.7333,253.0875,1176.5638,14451.2431,6489.037,1265.5767,6823.4185,9904.052,3302.8027,102.6693,1755.3246,675.9022,413.9942,627.2432,627.9878,1545.3332,946.5405,191.4544,308.9535,869.2585,1016.1278,7426.7571,3431.731,622.4076,1455.1325,11028.9531,474.2926,1662.1926,3200.4903,91.8708,4128.7561,1180.446,22779.8056,478.0296,964.2146,951.4294,9616.3041,925.0064,7683.8225,5988.0224,1829.6733,2021.2,2401.5083,2615.184,2946.354,649.9653,7354.0904,3597.6904,394.7346,303.7753,37.4021,253.9717,7087.2357,267.1518,3358.5356,387.316,2081.1516,1453.1417,341.1787,3752.4233,1934.9411,2730.337,473.7747,21849.1214,38626.7214
PWY-6471,223649.5805,274494.1722,228907.3968,164278.5447,175156.0471,137623.3436,120007.5057,97321.9911,138517.8796,127382.4453,295594.2083,3339.7432,219967.1574,63748.2044,7048.7119,16799.3784,17225.8082,30525.8806,12008.3999,62391.2379,41069.5864,73770.5648,153245.6313,268698.2401,258082.8003,16419.0923,41104.1604,49798.1792,34358.3831,41433.1992,30593.9649,27033.0428,10908.5001,41956.9994,164969.7656,43390.0515,27704.4964,22264.7141,44334.2356,36324.371,30500.235,38157.364,62481.5771,36958.1373,26575.4384,218308.7415,41052.0105,23026.2434,50636.8525,27983.1533,25496.2938,34516.5388,32650.9058,42166.7039,27114.0837,39805.4038,195113.7369,34251.5701,27008.4976,46087.245,24635.36,43675.6133,31403.5693,19495.5131,147822.3622,154759.9838,202527.7644
PWY-6478,13659.4403,47148.6691,24414.7961,18978.1349,16197.9778,13131.2454,26081.1119,20619.5071,20975.0885,56122.051,41303.4209,178.606,27114.2211,5265.0292,719.3809,1376.8791,964.5012,1913.7101,1486.8899,3379.2318,10892.5972,25344.0953,23043.7824,27687.7293,46613.469,12944.9592,3860.0317,6211.5269,1206.8545,15290.2675,9918.4298,1700.2923,2354.4392,6180.1029,23154.5079,5529.7911,3865.4763,8065.2331,3316.3233,4206.2364,4743.6843,1371.7351,6245.708,8276.1298,5415.5394,23530.1717,6285.8028,4152.9851,2462.9447,3079.8291,6852.4003,4440.617,4273.1722,3489.8547,1694.5714,5010.1544,25785.6361,1353.4111,2136.2631,4001.9596,2716.8607,3046.9871,2478.3971,3465.5259,43083.1911,18336.524,47861.2759
PWY-6505,0,0,0,0,0,0,0,0,0,425.3309,0,0,0,0,0,0,0,0,0,0,0,0,22.3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
