pathway,SRR14660150,SRR14660161,SRR14660172,SRR14660183,SRR14660188,SRR14660189,SRR14660190,SRR14660191,SRR14660192,SRR14660193,SRR14660194,SRR14660195,SRR14660197,SRR14660198,SRR14660199,SRR14660200,SRR14660201,SRR14660202,SRR14660203,SRR14660204,SRR14660205,SRR14660206,SRR14660207,SRR14660208,SRR14660209,SRR14660210,SRR14660211,SRR14660212,SRR14660213,SRR14660214,SRR14660215,SRR14660217,SRR14660218,SRR14660219,SRR14660220,SRR14660221,SRR14660222,SRR14660223,SRR14660224,SRR14660226,SRR14660227,SRR14660228,SRR14660229,SRR14660230,SRR14660231,SRR14660232,SRR14660233,SRR14660234,SRR14660235,SRR14660238,SRR14660249,SRR14660250,SRR14660251
PWY-6122,42098.1498,56668.9947,48896.2739,46929.9147,54513.5321,66955.573,72749.8507,49170.9916,52506.4706,47672.4293,45195.689,57865.484,50407.3108,29510.5384,39694.8268,53830.8275,47596.1814,43315.752,60173.4011,51315.7985,59405.1979,48165.0464,57506.2774,45204.4593,50495.4447,52435.5011,42678.5668,47577.226,16336.2838,48671.057,40165.9515,45649.533,35398.3995,52389.405,50254.0181,42095.5681,45822.5639,52589.6383,42335.2494,51242.0362,58122.6611,44975.2155,49733.1717,56382.6216,45331.8435,66842.0638,40534.3924,55695.1727,50445.8354,54247.2839,47798.3008,48974.8332,49722.901
PWY-6123,37392.0471,52075.5743,43222.8065,39810.9646,50455.8792,56182.767,66087.0929,45682.3381,48924.8495,43112.8691,36535.3936,48851.5485,46480.9684,26199.9179,37616.2889,49440.2368,42054.0344,41653.0688,55817.7953,49846.8826,56147.8399,43890.3324,49364.64,40548.3471,46025.4992,50737.4529,39867.7455,44123.8937,15326.3182,45427.6509,38021.1997,38943.7982,32676.8238,45719.487,41810.8336,39066.7182,38866.7332,51431.0663,37831.2218,42220.5465,52386.1491,39693.7793,46935.0575,52136.8853,36261.0466,57346.31,31120.2519,51017.7589,44607.916,49843.9319,42463.6923,46129.0838,42001.3036
PWY-6125,15456.3931,24623.9205,17975.6599,11180.4772,27349.9747,25338.6139,34152.1273,16646.2103,26186.1227,23224.387,21331.2931,26668.7033,12902.973,11266.5895,15484.5553,28321.4232,27598.3881,20578.1772,30225.2085,27581.9848,34443.6312,20522.056,24088.0936,12773.8086,24053.62,26717.4018,17229.0736,23680.8308,4772.8461,16177.6351,12856.9139,19895.728,21967.8594,11164.6704,24818.5779,18726.2765,12597.149,28490.9552,16284.7573,18689.061,20737.8424,10498.6617,24527.7908,30236.6972,27788.9001,22356.086,11487.0985,23360.9277,21306.0388,20363.2182,11857.5461,19661.7618,18339.8116
PWY-6126,42627.5531,58866.3232,48297.9922,45347.8652,50179.9801,62596.7649,74742.1232,50818.7651,54623.3707,47455.5497,41785.525,56294.556,53309.495,29709.9818,42104.3351,56371.1809,47184.6182,44780.7661,59087.2662,54131.5003,58968.5262,48976.0713,56573.1708,45918.1599,52733.2199,56061.3617,45052.0971,49448.3974,17156.5716,50173.3654,42796.9485,46871.7471,38279.9329,53043.6723,48313.5232,43461.5694,45826.0312,57262.7,41977.4674,47986.1223,59394.59,44540.5555,53601.5853,58952.9849,36838.533,66565.3391,37515.1942,56678.2422,50838.041,57228.6462,47726.5704,51516.6769,47834.5407
PWY-6141,0,0,0,0,335.8211,1456.7214,0,212.8167,0,1743.2368,0,0,0,458.6058,0,0,0,0,0,0,0,0,1620.9495,0,655.6921,0,111.8013,0,85.871,0,0,0,0,0,2870.6582,185.868,205.9848,0,1275.5581,0,0,0,0,0,0,17.4972,5.833,0,0,0,0,0,37.3227
PWY-6147,23087.3993,29051.057,20860.4944,25681.3884,27335.548,29077.7532,38567.9658,26216.1852,32287.4116,24590.2905,25705.0453,31774.0099,29731.3995,16664.2142,18816.2688,28520.5444,25410.0915,22984.2125,36634.6671,35894.7796,30243.3108,26381.499,27264.3069,22584.2953,25551.9356,31678.0879,20237.8044,25774.642,7795.5306,27994.26,19458.3362,21905.3694,20291.2681,27425.8479,23387.1049,20730.2293,19980.3881,33729.719,19742.9348,28622.1059,29365.8457,21645.6073,26390.4969,38787.2154,35127.3335,30207.1943,22606.3637,20010.4902,28053.727,24782.1034,27976.4109,30129.2382,27335.299
PWY-6148,0,0,0,0,850.0896,3525.5529,0,540.0465,0,4006.7679,0,0,0,1115.1867,0,0,0,0,0,0,0,0,3815.0998,0,1604.2214,0,263.6587,0,217.156,0,0,0,0,0,5912.716,469.9064,521.6956,0,2942.0904,0,0,0,0,0,0,56.1797,23.4378,0,0,0,0,0,122.0461
PWY-6151,33569.6766,43401.5982,32490.362,37444.7626,37320.7013,42893.8104,53784.3162,40080.1066,33945.3924,30412.8284,28285.9565,41020.7721,37887.7436,22184.2343,29900.4046,42081.6618,32837.6009,35470.0289,50978.3423,35667.9101,35455.7981,36190.2914,38461.7195,29016.3954,37166.4215,43550.8654,33961.5951,32252.8508,11645.7074,30528.2727,32807.6035,35919.9458,23238.5696,39822.8254,33888.6048,27418.3104,35861.9274,44273.9823,32015.0233,33892.2083,45526.846,37997.2865,40976.9187,43746.5738,35185.4469,51443.9474,29031.4361,39474.4308,35994.6081,45342.0771,39351.9607,37149.9801,38692.2549
PWY-6163,38661.7518,53211.0927,45443.1978,44046.3521,53055.986,59794.3273,68681.9269,47803.8161,49844.2772,44009.4774,37122.7748,51046.4024,50797.5711,26926.5111,35557.8897,48961.5302,41478.5563,41114.6125,54312.6844,49065.6562,58352.7305,44761.2296,49775.6283,42588.0577,48200.9905,49768.3089,40456.5988,46597.7824,15672.5228,45468.6637,37717.4124,40372.9146,34367.4922,49157.2003,44489.7453,39643.8564,42010.788,51834.1988,41338.9744,43401.0283,54102.8174,41855.6742,47917.6933,56811.1469,44087.0699,58914.5033,33539.01,53137.541,48843.9734,51917.0405,47306.3809,45291.1553,47167.0888
PWY-6165,0,4.7827,3.1929,16.2092,82.2153,69.5037,0,232.8495,0,991.9453,37.4447,158.9389,0,39.127,0,0,0,0,38.0785,23.8856,32.1405,0,15.9541,0,19.0383,0,178.5734,0,0,0,0,86.8822,102.5543,0,212.544,0,18.85,0,319.2258,267.0413,0,5.8736,209.8628,74.2461,288.7249,7.7375,157.0129,0,0,0,5.8177,0,148.6721
PWY-6167,0,0,0,0,954.504,3875.6877,0,610.2867,0,4662.9975,0,0,0,1363.8249,0,0,0,0,0,0,0,0,4400.9029,0,1840.7023,0,310.0136,0,242.1134,0,0,0,0,0,6924.4283,585.3044,591.1608,0,3371.7673,0,0,0,0,0,0,55.7961,18.7011,0,0,0,0,0,116.5797
PWY-6174,0,0,0,0,433.9383,1791.3233,0,310.5638,0,1978.9108,0,0,0,548.4749,0,0,0,0,0,0,0,0,1911.4439,0,741.3385,0,202.9218,0,102.4233,0,0,0,0,0,4352.419,263.9035,280.5131,0,1534.8921,0,0,0,0,0,0,33.8383,11.6426,0,0,0,0,0,67.6582
PWY-6182,0,0,0,0,0,0,0,0,0,0,0,259.1355,0,11.8868,0,18.6284,8.2224,262.9779,9.8294,3.8008,0,0,0,0,0,0,0,2.2592,2.5258,16.8547,7.4583,0,30.8754,0,42.3554,0,0,0,1.6154,0,0,0,0,15.9494,0,11.3762,0,5.268,0,0,0,0,0
PWY-6185,0,0,0,0,0,0,0,0,0,0,0,237.4111,0,0,0,4.3766,6.4377,272.424,5.4426,3.5397,0,0,0,0,0,0,0,2.0227,2.4138,12.1978,5.7552,0,31.8556,0,43.7,0,0,0,1.6667,0,0,0,0,0,0,4.6498,0,0,0,0,0,0,0
PWY-621,46519.059,47612.6857,33461.3488,52803.1233,50074.9363,62625.8826,65352.7879,47670.7279,46460.7362,32764.9697,41452.7781,59308.3902,46678.0837,23257.6115,33853.8576,53227.4782,50168.7548,36689.8995,55451.8275,30090.4319,42455.7876,41395.5591,43131.2518,37538.0437,45538.8093,47293.9504,38394.1355,38746.7089,12748.6838,36753.4553,37242.5884,48460.2704,21495.2414,53898.308,43072.5475,28809.2381,49830.0366,43699.1051,35593.9796,47181.8305,54335.3401,44211.7075,49647.6395,58952.5584,61007.5991,71185.6265,44847.6877,32553.0044,55022.3524,56818.605,46620.6308,44726.9998,58077.2627
PWY-6210,0,9,0,12,0,0,0,0,0,0,0,0,0,15,6,9,12.56,0,3,0,6,8,33,5,75,0,0,0,0,185,13,0,0,8,0,0,0,0,0,0,36,0,0,15,14,24,21,8,0,13,0,0,0
PWY-6263,2239.3341,8017.2472,6991.8148,11.9827,8593.6473,4096.2501,6847.2505,3397.1263,10529.6717,7340.855,3028.2764,4107.59,6560.9768,4443.3705,5877.5209,1955.5879,720.5589,3018.5029,0,9316.7685,15652.6171,6203.4592,6000.7623,6880.598,6136.3499,1296.6811,3395.2908,3565.9363,1129.2241,7703.3645,2692.7997,0,6413.5945,2930.4773,1301.0995,7997.2335,2618.9789,3407.7209,1292.7977,5210.607,3557.7076,843.87,565.5388,2223.3818,990.2899,1921.2963,46.1278,1601.6564,3892.5091,1080.1189,2148.9731,4569.6668,35.8854
PWY-6269,30531.0388,42447.2675,30178.7004,31991.4807,38505.5835,42404.842,52762.5918,39896.8571,36152.8041,30323.8852,30356.524,39150.2987,39038.8243,17932.8734,27696.023,43931.2577,34138.6283,32462.5754,49350.5093,34414.725,40729.4378,33272.4348,36401.9697,32544.9796,34020.2122,43362.8976,35529.7037,34516.2144,12723.3511,35114.6413,32385.6373,35786.6667,22692.376,39325.3204,22430.153,27572.1212,32350.1987,42659.6168,26980.7397,32031.79,44650.5522,33707.4165,40013.4158,47614.5791,15027.6622,50712.0657,26584.4726,37255.1011,34871.9501,44598.817,32952.8615,40017.3185,34088.2647
PWY-6277,42098.1498,56668.9947,48896.2739,46929.9147,54513.5321,66955.573,72749.8507,49170.9916,52506.4706,47672.4293,45195.689,57865.484,50407.3108,29510.5384,39694.8268,53830.8275,47596.1814,43315.752,60173.4011,51315.7985,59405.1979,48165.0464,57506.2774,45204.4593,50495.4447,52435.5011,42678.5668,47577.226,16336.2838,48671.057,40165.9515,45649.533,35398.3995,52389.405,50254.0181,42095.5681,45822.5639,52589.6383,42335.2494,51242.0362,58122.6611,44975.2155,49733.1717,56382.6216,45331.8435,66842.0638,40534.3924,55695.1727,50445.8354,54247.2839,47798.3008,48974.8332,49722.901
PWY-6282,17632.368,13379.9932,30045.5516,9093.5849,13644.5974,9958.3873,28433.2034,10652.8373,10538.2101,7432.1031,8270.4975,23503.455,9800.9934,7674.4735,12454.6055,33525.9514,21404.3654,15934.3506,9497.9841,17021.4027,5409.1262,23163.4005,27354.1431,5129.851,27016.1848,25911.6991,16523.8845,19246.0279,6563.0916,19895.8459,12971.101,21851.8322,24861.163,7301.5393,4663.5978,11098.3731,2689.9036,26699.9832,1734.1396,11155.5832,14363.7503,9687.4001,13892.2815,29158.4016,10341.4067,16870.2168,3933.5284,8467.7455,5318.3921,20780.4517,4339.4636,9233.1028,7926.2305
PWY-6317,41397.6643,52580.9894,42820.2893,45431.7348,49317.3055,54587.6623,64504.5175,48090.6522,45590.57,37390.2961,36358.5665,50519.4519,45345.4876,25808.0311,35402.0683,51719.2817,42280.3046,37429.3048,54933.4115,36542.9328,45571.9851,44089.0923,46746.1442,38359.9617,47207.7398,51171.8205,38216.5892,41367.7172,14355.4475,41534.5029,38433.6497,43480.7963,27179.2494,48277.1919,42055.0827,34348.8602,42263.8753,49230.5443,36029.7805,42872.8853,53412.22,43831.2031,49766.2419,51805.031,43694.5746,61729.8207,33044.3985,46378.2076,47415.8095,54198.6207,45913.989,45391.2605,46476.97
PWY-6339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.5235,0,0,0,0,0,0,0,0,0,0,9.9987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6349,0,0,0,0,382.2699,1646.0806,0,242.443,0,1934.7348,0,0,0,520.2984,0,0,0,0,0,0,0,0,1814.642,0,744.1322,0,124.1785,0,97.6156,0,0,0,0,0,3119.1618,211.5156,234.8253,0,1432.4718,0,0,0,0,0,0,19.9937,6.6659,0,0,0,0,0,42.6424
PWY-6350,0,0,0,0,359.0917,1551.937,0,227.6535,0,1840.3887,0,0,0,489.565,0,0,0,0,0,0,0,0,1718.7959,0,700.067,0,116.5314,0,91.759,0,0,0,0,0,2998.0472,198.7192,220.423,0,1354.702,0,0,0,0,0,0,18.7456,6.2495,0,0,0,0,0,39.9829
PWY-6353,25057.3052,22407.7452,17852.7054,19543.8938,21936.4164,29288.9407,31061.4279,18603.1147,20025.4902,22364.456,24516.6242,33620.682,22326.195,12819.1073,19104.3602,26143.7624,27582.2281,20483.7361,31940.9701,23848.5627,15343.251,19365.4921,28631.0572,19824.6428,22799.4323,12612.8525,19379.0314,15061.1761,7453.5457,25163.1719,15761.0157,26720.294,15746.2974,21622.3512,16742.0502,16069.9462,19985.789,13064.3549,15391.7167,27828.2677,23897.0867,22415.389,20874.7801,26131.0389,16356.6098,33351.7241,22514.3023,18046.6138,21104.2569,22221.6571,21140.3266,19089.0989,20100.7382
PWY-6383,25.906,43.7765,0,23.93,14.6367,13.9915,15.976,17.9443,0,0,11.9897,17.9812,7.9903,31.7951,7.9817,0,19.9685,0,0,9.9943,29.9661,7.9909,0,0,0,5.992,0,9.9841,0,0,0,27.9116,17.8583,0,27.9728,5.991,19.9455,3.9967,15.9829,0,0,15.9552,0,0,323.9089,19.973,99.4891,0,17.9473,0,0,0,67.5071
PWY-6385,37114.719,51478.1604,43255.5047,40021.1905,49725.2953,57417.124,65414.2944,45145.5342,48182.702,41905.8702,35423.5894,48185.9571,46683.7823,25450.9764,37272.7453,47950.0796,40598.7091,39841.9012,53100.5233,47253.6932,53791.6756,43257.8131,48654.0883,41306.4819,45570.026,49292.6827,39346.908,43518.0848,14950.3212,44892.6507,37411.8386,38616.3545,32137.2476,46674.5649,40895.6249,38217.1253,39909.6414,49111.2445,38256.1838,42012.9287,52174.1214,39296.237,46193.74,51013.6337,40364.9481,57143.4445,31623.6689,50610.3245,44676.2379,50404.3665,42810.7602,44819.0014,42078.0283
PWY-6386,37916.5366,53128.6315,44151.8972,41275.0535,50717.5588,58408.7253,66827.2224,46072.872,49224.9379,42502.2577,36404.9659,49986.5768,48137.8227,25992.4117,38131.9058,49040.7573,41663.3671,40681.0481,54524.4822,47867.8199,54481.8003,44693.6196,49527.2506,42078.06,46191.1132,50431.2166,40269.0052,44336.6169,15322.4128,46097.4279,38502.6587,39762.9401,32532.5412,47526.6373,40579.1009,38672.5473,41012.98,50330.2547,38682.0073,43354.7428,53918.0507,40511.9991,47250.1268,52196.4851,40409.0536,58873.051,33176.1629,51459.7845,45667.3943,51460.2472,44172.3355,46224.0426,42505.1014
PWY-6387,37778.2891,52430.9116,43943.6819,40981.3816,50803.0637,58846.9847,66583.0631,46023.9977,48970.7134,42907.0639,36387.6487,49618.175,47531.879,25991.7907,37959.3938,48853.1116,41474.7278,40516.4374,54206.1981,48126.9073,54649.3092,44202.1176,49775.4573,41978.5919,46216.462,50086.2706,39931.8985,44721.3151,15523.8292,45786.3713,38165.8595,39580.2833,32851.5665,47581.9212,42038.0268,38976.0426,40950.7201,49864.5399,39045.2501,43170.4218,53304.9737,40128.0118,46927.1593,51719.4694,40811.8634,58576.0273,32862.1367,51684.1574,45449.6578,51286.3576,43592.2657,45798.1083,42974.211
PWY-6396,392.6053,535.3292,888.3307,444.5433,385.2379,555.2097,371.5572,278.568,835.4625,132.9399,149.6019,1419.3807,592.8837,157.187,499.9103,313.9007,581.7242,268.6708,159.4747,533.6228,143.1324,92.3847,234.3083,254.2526,218.5905,154.3789,58.7304,438.7952,8.4969,301.3043,150.157,210.6886,386.8917,1468.122,655.1888,534.0058,453.8283,164.7585,322.209,1556.5978,382.2083,336.3569,1277.5589,601.781,3545.2973,320.8973,2470.8284,614.075,202.6146,16.1299,585.2301,413.2963,512.9254
PWY-6397,14.8324,4.6499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8388,0,0,0,0,0,0,0,0
PWY-6467,7370,13846.73,9526.27,4242.03,8293.93,6935.1,16246.67,9217.16,16555.99,14641.81,10568.24,13209.65,10339.18,8837.83,11152.81,13973.33,13234.81,12102.93,19842.77,24974.14,12990.89,13889.83,10820.94,9805.71,11961.64,16881.2,7896.45,11053.56,3664.04,12576.44,7705.1,9444.91,14099.06,4730.5,7200.04,13504.61,3638.49,18891.32,5557.55,13233.07,7557.06,8578.75,13215.42,16269.41,11546.51,8004.46,3379.56,8772.1,8134.58,8166.16,7111.79,15419.47,6120.47
PWY-6470,3671.7336,36.4427,5517.9262,1587.4702,740.1151,1501.8273,1185.8275,1292.1841,829.8951,1676.2194,702.6861,2226.825,1985.8567,731.9775,1823.069,1186.2037,3242.009,307.0908,809.3874,1550.4516,563.6746,1873.6016,1052.0542,93.7773,256.858,677.6459,315.937,2178.391,42.99,917.2065,597.5741,1251.4544,714.6496,8313.6142,3762.8499,1184.9383,832.8513,556.5117,1154.3384,3517.3709,882.0528,1428.0596,1329.2538,2208.768,9301.6499,1801.677,7167.4626,509.2982,1230.1145,21.587,1908.2867,2376.8727,990.9685
PWY-6471,21399.8129,32931.1828,19401.5007,23030.328,22482.1206,29752.4286,35992.5391,29714.24,27253.8377,18670.6472,16855.4773,18562.3397,27346.9054,16523.4098,21288.4087,29027.2629,24123.5782,21910.8457,27641.8476,29000.7867,28004.4094,23574.5053,23228.9646,26546.9813,25749.8724,26449.5583,24823.1322,20684.7723,8000.0412,25684.8066,23588.316,23626.1958,16972.1771,34989.714,25676.3597,19926.6188,26914.9128,26602.2569,24943.6217,19017.8487,34756.4313,19901.3977,28209.9187,22953.303,15277.623,38604.4068,11447.0737,29146.5673,26148.5543,33172.9915,18105.5722,26533.9062,23129.6244
PWY-6478,2115.9726,3654.6772,978.5479,2584.6476,2591.5684,5077.2909,3241.3187,2021.7175,2229.9994,1909.0856,4954.2054,4942.9227,1703.1233,1275.6706,1288.8656,3116.8899,4165.5813,3987.0961,3645.9729,3282.7657,4919.6888,5196.7345,3913.0313,1860.7898,3834.8207,3685.185,3498.3042,1357.9399,1264.1708,4958.0951,3202.2183,4637.2008,1186.6918,2402.6605,1072.0109,1089.3863,2322.1526,3262.8323,1289.5771,3576.2877,2812.345,3245.8444,3024.8675,3083.2272,1114.8168,3050.2827,4259.6782,981.4981,6951.4149,3278.921,1626.4195,2568.2774,2932.3593
PWY-6505,0,13.4759,0,18.1234,0,0,0,0,0,0,0,0,0,24.3071,9.5273,14.1173,0,0,4.7831,0,9.1551,12.6143,49.9159,7.6339,112.6772,0,0,0,0,270.4499,19.439,0,0,11.6976,0,0,0,0,0,0,53.1096,0,0,23.6833,22.3328,37.8252,32.5092,12.5132,0,19.6885,0,0,0
PWY-6507,16814.4928,22113.6258,13515.4122,14736.9253,14485.1317,16722.0977,33725.6957,20750.6147,18644.8995,19525.7539,20718.6965,26727.2811,18000.8243,12131.08,17422.909,26979.9263,23379.4423,16143.381,36579.2323,31581.8616,15268.2127,20735.9832,23293.4782,12223.219,19139.6829,31393.2407,15623.3653,19717.0766,7746.4075,18199.2247,13757.3999,24309.5183,11636.3987,8086.5212,12378.0008,15175.6324,9235.8998,29092.46,10563.6861,23012.3658,19797.9765,19889.3765,24675.7916,29812.7118,19621.9659,20904.6775,11766.3201,15491.2041,16748.185,19745.8614,17549.3576,27370.3366,12699.632
PWY-6519,16273.2891,15806.8279,17390.2221,9159.5347,12355.7802,10308.9839,26517.8491,12507.8431,13540.6022,10338.0585,10644.6094,23248.6968,11539.9847,9208.3904,13587.2027,30734.9416,21704.4058,13923.6671,14388.5524,22632.4405,7831.7975,22130.8701,22336.455,6604.298,22620.6849,28154.2283,13634.7937,17921.6653,5816.3179,17094.8324,11479.7567,19207.9132,20660.2483,5759.7089,6058.9133,12771.2035,3371.4991,27945.6677,2501.5365,13779.6594,11925.1515,11989.6761,17286.6242,28140.6129,12969.4677,15748.1614,3697.2018,9754.1305,7249.6353,18218.079,6359.1122,13021.1022,7841.9455
PWY-6545,9007.636,16235.6805,11961.3794,7456.0272,17913.2101,15950.8788,21933.0249,10674.0375,16644.5617,13588.6769,10963.012,15240.621,9026.2481,7064.0711,9867.9622,17575.9554,15219.1356,13402.9143,16712.1626,14530.8246,24263.3194,12823.2187,15348.6997,8252.4529,15107.2791,17259.3767,11350.5293,15321.0389,3106.4978,10784.1207,8659.7489,12240.5825,14099.56,7367.2701,14031.905,12046.5657,8292.967,17774.9817,10646.8595,10247.2906,13546.7456,6903.5958,15209.5034,14122.6116,6103.2605,14431.8029,7194.5425,16006.1832,12911.8435,13404.4548,8062.9527,12521.1506,11034.1123
PWY-6562,0,0,0,0,0.7918,0,0,0,0,0,3.9997,482.7776,1.0319,0,0,28.6632,3.9159,563.8994,7.9853,0,0,0,0,0,0,0,4.7944,3.1914,4.7904,0,6.4058,0,68.5877,0,93.7587,0,0,0,3.5993,0,89.5871,0,0,0,0,0,0,0,0,0,0,0,1.34
PWY-6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6572,7358.1987,13989.4354,4436.7951,4913.2529,3245.5932,1906.9476,9488.0944,10152.9879,12094.1435,11034.7711,6729.1703,12654.2143,6410.2139,7193.4272,8578.1515,13118.6756,14358.0348,3565.5006,12899.0969,17452.7979,5269.6665,12333.0458,6415.422,5762.5346,7998.8486,13468.5631,1666.6452,5855.2392,1809.0518,5852.3788,3722.1049,3834.5806,5580.1387,818.2982,4818.0703,5140.2321,2489.0226,13526.1651,2527.1055,11367.5578,3174.9992,8954.4556,12659.5135,9496.5203,11727.311,6111.3047,1321.9999,5180.9423,11833.1423,5447.6862,8973.5504,15455.3559,2253.9911
PWY-6588,5037.8554,4281.0196,15825.2261,5357.0672,8379.8145,20415.9648,14884.8335,6151.2166,6707.9938,12329.8396,8615.1523,3617.684,11708.5211,3259.5739,10208.7999,4856.4054,4829.7415,8527.5931,7202.4854,13995.5717,5807.279,10355.8239,14132.5057,16296.7969,9435.4094,8958.1088,8005.8027,12423.1357,4192.0017,18304.0953,5837.4533,5237.7847,8574.6578,13676.922,5095.0557,9466.8479,3742.6554,4842.3735,9446.515,11792.5316,7882.3291,7304.9628,7042.9794,7200.2768,29311.8541,10043.8039,6304.4861,19948.0028,9122.2991,5418.9304,9773.1958,6641.2691,6573.3006
PWY-6590,1512.9205,192.8768,610.9925,224.0976,558.4601,385.0806,1613.2136,422.9769,493.522,1300.2685,1134.6743,6934.4884,160.2812,685.8168,565.616,2248.002,362.9611,3448.9153,1058.4221,13161.2401,610.3717,2551.1637,959.5168,790.4359,1337.0976,443.4188,195.9518,1379.1488,162.5002,2853.7549,288.3198,253.6959,4025.9723,137.5144,647.2705,763.3553,591.3252,129.8394,4057.9893,639.8628,1945.2971,363.495,693.8016,1026.6676,8075.0441,770.9946,796.3935,297.7188,169.713,253.6211,1054.1246,715.3639,491.6617
PWY-6608,24651.0172,22500.08,19421.1393,18385.511,18994.1032,28752.4412,27790.0189,15497.4081,18530.869,23646.8316,26662.3989,36204.234,21063.0023,13524.6103,16984.237,23760.6693,25784.2427,19064.8818,29651.2548,27609.2943,13586.0026,17816.7072,34142.0342,20103.8078,20262.8645,10349.7427,17041.8178,14041.271,8089.388,27940.0237,15405.0913,27646.9288,13554.0755,20460.4607,16632.9019,15337.6447,19053.9472,13629.1787,15268.7103,31457.2026,21095.4048,21776.7161,16516.316,24474.1665,17782.1068,34229.6601,24855.8792,18509.7366,19384.4792,19308.0078,18982.3041,19807.9008,20689.4236
PWY-6609,37735.5082,51874.3932,42595.9845,39644.9839,50560.1002,55486.9757,65061.9274,46014.4238,48389.6912,41730.978,34231.4873,46720.3178,47625.7372,23582.6667,38312.2125,49120.8926,39986.7504,40476.9805,54905.3809,45313.5178,53047.6169,44441.7424,48993.0421,42593.4955,46103.2505,52189.6332,42011.5532,42864.2688,15859.3353,48097.2429,39190.5819,40884.6251,31625.5657,50126.1511,32179.3618,37822.847,43060.9709,49235.0126,37132.0473,41986.4049,55557.2562,39319.6408,49782.0663,52323.5417,47037.4479,59509.5375,31087.7094,50108.944,45546.316,52903.4617,45080.7748,45972.5754,41588.5446
PWY-6612,24510.587,29451.1524,23344.1193,26237.3652,26125.3748,30285.2761,39517.986,25824.4698,31220.4519,26443.1309,28028.3735,35053.061,28843.4454,17394.4475,20564.7214,30715.1034,28032.5421,24499.808,39202.2774,36909.0769,28181.7039,28174.9256,29291.366,23353.5133,27564.0131,32536.4009,21477.652,26243.0534,8276.8771,28667.6165,20439.3148,24589.3405,20788.2301,28548.6681,26960.9693,23687.024,19942.6533,33920.7748,21510.8556,30592.328,27684.2012,24260.0216,28850.0747,37870.5514,39447.9836,31185.7178,23973.0803,24151.4806,27191.4613,26305.6928,28093.7279,30122.3977,28510.5918
PWY-6628,15751.8577,18364.5754,6279.353,10095.2448,39156.147,33232.7948,22960.637,17283.793,25934.1489,17859.5126,18900.5589,26101.6872,13344.678,9627.5319,19897.5866,21936.2485,17980.6221,17033.6097,16810.8523,31490.5941,26366.9635,22759.008,25426.7673,10339.4409,18098.8389,11682.0129,19023.8678,17484.0295,3256.597,17125.1682,21663.7453,17094.2659,14157.7304,18679.4847,16326.1275,20550.2621,27270.6092,19103.0005,13703.4098,12259.6538,32216.3787,14168.5658,17502.886,12170.6,11521.3585,16112.441,20992.295,24586.5106,13555.2559,27562.2918,18773.0196,18092.1338,26008.8991
PWY-6629,1868.1975,7.1989,4.7995,26.3847,129.2794,105.411,0,475.1421,0,1712.8901,1284.3742,7984.5737,0,59.8621,1134.8342,2390.6961,0,377.9195,680.4466,19364.1428,55.1457,0,23.9883,971.2428,28.7821,0,368.4039,5063.235,0,2115.03,752.2288,167.2915,10929.602,76.67,323.9268,0,28.7782,310.1005,507.2646,3355.6192,0,9.5978,505.6308,124.5272,8694.0644,11.9975,758.6504,0,0,0,9.598,0,660.49
PWY-6630,15771.498,18345.2367,6280.2406,10110.2858,38875.5687,33162.9435,22898.2051,17268.8524,25753.859,17815.8574,18850.9325,26099.0259,13335.9956,9626.9337,19820.4377,21922.1875,17954.6316,16831.9041,16699.5195,31273.0531,26235.8602,22697.4187,25419.2467,10329.2214,18080.0841,11655.8362,18936.0972,17422.6059,3250.619,17055.8492,21548.968,17112.0596,14063.9852,18661.9914,16416.5537,20494.1887,27256.4619,19035.8224,13693.7263,12267.1365,32076.5109,14185.4739,17468.1383,12156.4334,11516.3725,16112.7394,21133.4853,24554.1515,13563.3822,27498.781,18769.8675,18072.1298,26027.3506
PWY-6641,0,0,47.6132,0,1045.5179,1514.1539,0,500.3189,0,563.2707,0,24.251,0,377.603,0,0,0,550.2047,0,519.1092,482.0539,0,49.8051,54.3886,673.95,9.7952,383.2187,20.6547,299.5102,805.4897,144.4879,0,12.486,0,135.783,299.1008,450.3417,0,699.9663,0,411.7052,0,0,0,229.4371,70.7989,24.3141,0,0,0,0,0,110.6665
PWY-6654,0,0,0,0,571.9906,2421.4755,0,363.2845,0,2907.8494,0,0,0,770.4069,0,0,0,0,0,0,0,0,2687.5704,0,1107.5047,0,186.0896,0,146.3903,0,0,0,0,0,4576.2751,317.4741,349.5791,0,2098.7456,0,0,0,0,0,0,29.9828,9.9965,0,0,0,0,0,63.9027
